Pukarta Chala Hoon Main, Mohammed Rafi
Mast Magan, Shankar-Ehsaan-Loy
Tum Jo Mil Gaye Ho, Mohammed Rafi
Tum Mujhe Yun Bhula Na Paoge, Mohammed Rafi
Chura Liya Hai Tumne Jo Dil Ko, Asha Bhosle
Aaj Mausam Bada Beimaan Hai, Mohammed Rafi
Ehsan Tera Hoga Mujh Par, Mohammed Rafi
Hum Aap Ki Ankhon Mein, Geeta Dutt
Itna To Yaad Hai Mujhe, Mohammed Rafi
Yeh Kahan Aa Gaye Hum, Lata Mangeshkar
Aaj Phir Jeene Ki Tamanna Hai, Lata Mangeshkar
Tere Bina Zindagi Se, Lata Mangeshkar
Tujhse Naraz Nahin Zindagi, Lata Mangeshkar
Goom Hai Kisi Ke Pyar Mein, Majrooh Sultanpuri
Na Jiya Lage Na, Lata Mangeshkar
Lag Ja Gale Se Phir, Lata Mangeshkar
Ab Ke Sajan Sawan Mein, Lata Mangeshkar
Dikhai Diye Yun, Lata Mangeshkar
Tujhe Dekha To, Lata Mangeshkar
Tere Bina Zindagi Se, Lata Mangeshkar
Aap Ki Ankhon Mein Kuch, Kishore Kumar
Tere Mere Milan Ki Raina, Lata Mangeshkar
Kahin Door Jab Din Dhal Jaye, Ravi Chopra
Hamen Tumse Pyar Kitna, Kishore Kumar
Yeh Jo Mohabbat Hai, Kishore Kumar
Ek Ajnabee Haseena Se, R.D. Burman
Yeh Kya Hua, R.D. Burman
Bheegi Bheegi Raaton Mein, Lata Mangeshkar
Chingari Koi Bhadke, R.D. Burman
Aaja Piya Tohe Pyar Doon, Lata Mangeshkar
Zindagi Kaisi Hai Paheli, Manna Dey
Mere Dil Mein Aaj Kya Hai, Sahir Ludhianvi
Musafir Hoon Yaron, Kishore Kumar
Meri Bheegi Bheegi Si, Majrooh Sultanpuri
Rimjhim Gire Sawan, Kishore Kumar
Phoolon Ke Rang Se, Neeraj Shridhar
Ek Ladki Bheegi Bhagi Si, Kishore Kumar
Karvaten Badalte Rahe, Lata Mangeshkar
Pal Bhar Ke Liye, Kishore Kumar
Pal Pal Dil Ke Paas (From Blackmail), Kishore Kumar
Jeevan Se Bhari Teri Ankhen, Kishore Kumar
Saagar Jaisi Aankhonwali, Kishore Kumar
Jeevan Ke Din, Kishore Kumar
Main Shair To Nahin, Shailendra Singh
Shayad, Pritam
Mere Dholna, Shreya Ghoshal
Agar Tum Saath Ho, Alka Yagnik
Kabhi Kabhi Aditi, A. R. Rahman
Guzarish, A. R. Rahman
Kaise Mujhe, Benny Dayal
Iktara, Shankar-Ehsaan-Loy
Galliyan, Ankit Tiwari, Mithoon, Rabbi Ahmed & Adnan Dhool
Kabira, Pritam
Hasi (Female Version), Shreya Ghoshal
Naina Da Kya Kasoor, Amit Trivedi, Raftaar & Girish Nakod
Tera Hone Laga Hoon, Atif Aslam
Tum Mile, Pritam
Ikk Kudi, Shahid Mallya
Kesariya - Brahmastra, Pritam
Humdard, Arijit Singh
Main Kya Karoon, Nikhil Paul George
Tum Hi Ho, Mithoon, Ankit Tiwari & Jeet Gannguli
Sunn Raha Hai, Mithoon, Ankit Tiwari & Jeet Gannguli
Bheegi Si Bhaagi Si, Pritam
Manike - Thank God, Yohani, Jubin Nautiyal, Surya Ragunaathan, Tanishk Bagchi & Chamath Sangeeth
Tu Hi Meri Shab Hai, KK
Dil Chahta Hai, Shankar-Ehsaan-Loy
Is This Love, Mohit Chauhan
Chahun Main Ya Naa, Arijit Singh
Bhool Bhulaiyaa 2 Title Track, Neeraj Shridhar
Aa Jao Meri Tamanna, Javed Ali
Bahara, Vishal, Shekhar
Pani Da Rang, Ayushmann Khurrana
Mere Bina, Nikhil D'Souza
Bakhuda Tumhi Ho, Atif Aslam, Alka Yagnik
Bin Tere, Shafqat Amanat Ali
Tu Jaane Na, Atif Aslam
Tera Hone Laga Hoon, Atif Aslam
Kya Mujhe Pyaar Hai, K.K.
Hairat, Lucky Ali
Tum Se Hi, Mohit Chauhan
Aao Milo Chalo, Shaan
Duniyaa, Akhil
Subhanallah, Sreeram Chandra
Abhi Kuch Dino Se, Mohit Chauhan
Chaandaniya, K Mohan
Sun saathiya, Priya Saraiya
Ik Vaari Aa, Arijit Singh
Raatan Lambiyan, Tanishk Bagchi
Raabta, Arijit Singh
Ranjha, Jasleen Royal
Maahi, Toshi Sabri
Chaar Kadam, Shaan
Aashiyan, Shreya Ghoshal
Tere sang yaara, Atif Aslam
Makhna, Tanishk Bagchi
Zara Sa, KK
Phir se ud chala, Mohit Chauhan
